04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] OutputFileMetadata --> {'Id': '_internal_id', 'Length': 'length', 'FriendlyName': 'friendly_name', 'PathFromRoot': 'path_from_root', 'Url': 'url', 'MimeType': 'mime_type'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] AssetFile --> {'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] AssetCollectionFile --> {'RelativePath': 'relative_path', 'Tags': 'tags', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] AssetCollection --> {'Id': 'id', 'DateCreated': 'date_created', 'Tags': 'tags', 'Assets': 'assets'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] Configuration --> {'EnvironmentName': 'environment_name', 'SimulationInputArgs': 'simulation_input_args', 'WorkingDirectoryRoot': 'working_directory_root', 'ExecutablePath': 'executable_path', 'NodeGroupName': 'node_group_name', 'MaximumNumberOfRetries': 'maximum_number_of_retries', 'Priority': 'priority', 'MinCores': 'min_cores', 'MaxCores': 'max_cores', 'Exclusive': 'exclusive', 'AssetCollectionId': 'asset_collection_id'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] SimulationFile --> {'FileType': 'file_type', 'Description': 'description', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] WorkItemFile --> {'FileType': 'file_type', 'Description': 'description', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] HpcJob --> {'Id': '_internal_id', 'JobId': 'job_id', 'JobState': 'job_state', 'Priority': 'priority', 'WorkingDirectory': 'working_directory', 'OutputDirectorySize': 'output_directory_size', 'SubmitTime': 'submit_time', 'StartTime': 'start_time', 'EndTime': 'end_time', 'ErrorMessage': 'error_message', 'Configuration': 'configuration'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] Simulation --> {'Id': 'id', 'ExperimentId': 'experiment_id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'SimulationState': 'state', 'ErrorMessage': 'error_message', 'Tags': 'tags', 'Configuration': 'configuration', 'Files': 'files', 'HPCJobs': 'hpc_jobs'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] Experiment --> {'Id': 'id', 'SuiteId': 'suite_id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'Tags': 'tags', 'Configuration': 'configuration'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] Suite --> {'Id': 'id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'Tags': 'tags', 'Configuration': 'configuration'}
04/02 09:18:09 [DEBUG] [46124] [COMPS.Data.SerializableEntity] WorkItem --> {'Id': 'id', 'Name': 'name', 'Worker': 'worker', 'EnvironmentName': 'environment_name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'State': 'state', 'ErrorMessage': 'error_message', 'HostName': 'host_name', 'WorkerInstanceId': 'worker_instance_id', 'Priority': 'priority', 'WorkingDirectory': 'working_directory', 'WorkingDirectorySize': 'working_directory_size', 'AssetCollectionId': 'asset_collection_id', 'Tags': 'tags', 'Files': 'files', 'Plugins': 'plugins'}
04/02 09:18:11 [DEBUG] [49964] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
04/02 09:18:12 [DEBUG] [49964] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations/e2c4ee27-1555-eb11-a2dd-c4346bcb7271 {'count': 100000}
04/02 09:18:13 [DEBUG] [49964] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Experiments/c4c4ee27-1555-eb11-a2dd-c4346bcb7271 {'children': 'Tags'}
04/02 09:18:13 [DEBUG] [49964] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'filters': 'ExperimentId=c4c4ee27-1555-eb11-a2dd-c4346bcb7271', 'count': 100000}
04/02 09:18:13 [DEBUG] [49964] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/e2c4ee27-1555-eb11-a2dd-c4346bcb7271/Output {'flatten': 1}
04/02 09:18:13 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
04/02 09:18:13 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Annual_Report.json -> MalariaSummaryReport_Annual_Report.json] to map
04/02 09:18:13 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [campaign_ParasiteGenetics.json -> campaign_ParasiteGenetics.json] to map
04/02 09:18:13 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
04/02 09:18:13 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
04/02 09:18:13 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
04/02 09:18:13 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
04/02 09:18:13 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
04/02 09:18:13 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
04/02 09:18:13 [DEBUG] [49964] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/download/R8qRhR791w9TT687-AJ2ApSfyFSzLVL1jiQtAj5VdNE_/UmVzZXJ2ZWRGb3JGdXR1cmVVc2U_/XFxpbnRlcm5hbC5pZG0uY3RyXElETVxIb21lXGpvcnVzc2VsbFxvdXRwdXRcRlBHX2VwaV92YWxpZGl0eV90ZXN0X0FMTF9SQU5ET01fMV8yMDIxMDExMl8yMDMxMzFcYjM2XGNjY1wzMzFcYjM2Y2NjMzMtMTU1NS1lYjExLWEyZGQtYzQzNDZiY2I3MjcxXG91dHB1dFxJbnNldENoYXJ0Lmpzb24_/InsetChart.json
04/02 09:18:15 [DEBUG] [49964] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/e3c4ee27-1555-eb11-a2dd-c4346bcb7271/Output {'flatten': 1}
04/02 09:18:15 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
04/02 09:18:15 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Annual_Report.json -> MalariaSummaryReport_Annual_Report.json] to map
04/02 09:18:15 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [campaign_ParasiteGenetics.json -> campaign_ParasiteGenetics.json] to map
04/02 09:18:15 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
04/02 09:18:15 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
04/02 09:18:15 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
04/02 09:18:15 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
04/02 09:18:15 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
04/02 09:18:15 [DEBUG] [49964] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
